"16540000008045","郑州市金水区世纪先锋学校","410000","410100","410105","1",""
"16540000024744","中州大学继续教育学院","410000","410100","410103","3",""
"16540000071800","中牟县刘集镇中心学校","410000","410100","410122","1",""
"16540000109322","郑州市二七区马寨镇中心学校","410000","410100","410103","1",""
"16540000201131","和庄镇中心博大幼儿园","410000","410100","410184","12",""
"16540000395274","程攻数学培训中心","410000","410100","410105","12",""
"16540000402494","登封市嵩阳办天骄幼儿园","410000","410100","410185","12",""
"16540000457319","黄河科技学院附属中学","410000","410100","410103","3",""
"16540000601645","北山口第一幼儿园","410000","410100","410181","12",""
"16540000606447","郑州市新目标小学","410000","410100","410105","1",""
"16540000620113","郑州市郑东新区康平路第二小学","410000","410100","410101","1",""
"16540001011375","新密市金凤路小学","410000","410100","410183","1",""
"16940000340928","白璧镇第一初级中学","410000","410500","410522","4",""
"17040000048565","科达学校黎阳分校","410000","410600","410621","4",""
"17140000067266","获嘉县张巨乡中张巨小学","410000","410700","410724","1",""
